NombreEquipo;NombreCiudad;NombreEntrenador;Jugador1;Jugador2;Jugador3;Jugador4;Jugador5;Jugador6;Jugador7;Jugador8;Jugador9;Jugador10;Jugador11;Jugador12;Jugador13;Jugador14;Jugador15;Jugador16;Jugador17;Jugador18;Jugador19;Jugador20;Jugador21;Jugador22;Jugador23;Jugador24;Jugador25;Jugador26;Jugador27;Jugador28;Jugador29;Jugador30;Jugador31
Liverpool;Liverpool;JürgenKlopp;AlissonBecker,goalkeeper,5.4,0,0,0;AdrianSanMiguel,goalkeeper,3.9,0,0,0;CaoimhinKelleher,goalkeeper,4.0,0,0,0;HarveyDavies,goalkeeper,4.0,0,0,0;JoeGomez,defender,4.5,0,0,0;VirgilVanDijk,defender,6.4,0,0,0;AlexanderArnold,defender,7.3,0,0,0;Robertson,defender,6.7,0,0,0;Matip,defender,5.9,0,0,0;Konate,defender,4.8,0,0,0;Tsimikas,defender,4.5,0,0,0;Chambers,defender,4.0,0,0,0;Phillips,defender,4.0,0,0,0;Ramsay,defender,3.9,0,0,0;Salah,midfielder,12.7,0,0,0;LuisDiaz,midfielder,8.0,0,1,0;Carvalho,midfielder,5.4,0,0,0;Fabinho,midfielder,5.3,0,0,0;Henderson,midfielder,5.3,0,0,0;Thiago,midfielder,5.2,0,0,0;Elliott,midfielder,5.0,0,0,0;Arthur,midfielder,4.9,0,0,0;Chamberlain,midfielder,4.9,0,0,0;Jones,midfielder,4.9,0,0,0;Keita,midfielder,4.8,0,0,0;Bajcetic,midfielder,4.5,0,0,0;Clark,midfielder,4.5,0,0,0;Milner,midfielder,4.5,0,0,0;DiogoJota,forward,8.9,0,0,0;Firmino,forward,8.0,0,0,0;Darwin,forward,8.8,0,0,0
AFC Bournemouth;Liverpool;JürgenKlopp;AlissonBecker,goalkeeper,5.4,0,0,0;AdrianSanMiguel,goalkeeper,3.9,0,0,0;CaoimhinKelleher,goalkeeper,4.0,0,0,0;HarveyDavies,goalkeeper,4.0,0,0,0;JoeGomez,defender,4.5,0,0,0;VirgilVanDijk,defender,6.4,0,0,0;AlexanderArnold,defender,7.3,0,0,0;Robertson,defender,6.7,0,0,0;Matip,defender,5.9,0,0,0;Konate,defender,4.8,0,0,0;Tsimikas,defender,4.5,0,0,0;Chambers,defender,4.0,0,0,0;Phillips,defender,4.0,0,0,0;Ramsay,defender,3.9,0,0,0;Salah,midfielder,12.7,0,0,0;LuisDiaz,midfielder,8.0,0,1,0;Carvalho,midfielder,5.4,0,0,0;Fabinho,midfielder,5.3,0,0,0;Henderson,midfielder,5.3,0,0,0;Thiago,midfielder,5.2,0,0,0;Elliott,midfielder,5.0,0,0,0;Arthur,midfielder,4.9,0,0,0;Chamberlain,midfielder,4.9,0,0,0;Jones,midfielder,4.9,0,0,0;Keita,midfielder,4.8,0,0,0;Bajcetic,midfielder,4.5,0,0,0;Clark,midfielder,4.5,0,0,0;Milner,midfielder,4.5,0,0,0;DiogoJota,forward,8.9,0,0,0;Firmino,forward,8.0,0,0,0;Darwin,forward,8.8,0,0,0
Arsenal;Liverpool;JürgenKlopp;AlissonBecker,goalkeeper,5.4,0,0,0;AdrianSanMiguel,goalkeeper,3.9,0,0,0;CaoimhinKelleher,goalkeeper,4.0,0,0,0;HarveyDavies,goalkeeper,4.0,0,0,0;JoeGomez,defender,4.5,0,0,0;VirgilVanDijk,defender,6.4,0,0,0;AlexanderArnold,defender,7.3,0,0,0;Robertson,defender,6.7,0,0,0;Matip,defender,5.9,0,0,0;Konate,defender,4.8,0,0,0;Tsimikas,defender,4.5,0,0,0;Chambers,defender,4.0,0,0,0;Phillips,defender,4.0,0,0,0;Ramsay,defender,3.9,0,0,0;Salah,midfielder,12.7,0,0,0;LuisDiaz,midfielder,8.0,0,1,0;Carvalho,midfielder,5.4,0,0,0;Fabinho,midfielder,5.3,0,0,0;Henderson,midfielder,5.3,0,0,0;Thiago,midfielder,5.2,0,0,0;Elliott,midfielder,5.0,0,0,0;Arthur,midfielder,4.9,0,0,0;Chamberlain,midfielder,4.9,0,0,0;Jones,midfielder,4.9,0,0,0;Keita,midfielder,4.8,0,0,0;Bajcetic,midfielder,4.5,0,0,0;Clark,midfielder,4.5,0,0,0;Milner,midfielder,4.5,0,0,0;DiogoJota,forward,8.9,0,0,0;Firmino,forward,8.0,0,0,0;Darwin,forward,8.8,0,0,0
Aston Villa;Liverpool;JürgenKlopp;AlissonBecker,goalkeeper,5.4,0,0,0;AdrianSanMiguel,goalkeeper,3.9,0,0,0;CaoimhinKelleher,goalkeeper,4.0,0,0,0;HarveyDavies,goalkeeper,4.0,0,0,0;JoeGomez,defender,4.5,0,0,0;VirgilVanDijk,defender,6.4,0,0,0;AlexanderArnold,defender,7.3,0,0,0;Robertson,defender,6.7,0,0,0;Matip,defender,5.9,0,0,0;Konate,defender,4.8,0,0,0;Tsimikas,defender,4.5,0,0,0;Chambers,defender,4.0,0,0,0;Phillips,defender,4.0,0,0,0;Ramsay,defender,3.9,0,0,0;Salah,midfielder,12.7,0,0,0;LuisDiaz,midfielder,8.0,0,1,0;Carvalho,midfielder,5.4,0,0,0;Fabinho,midfielder,5.3,0,0,0;Henderson,midfielder,5.3,0,0,0;Thiago,midfielder,5.2,0,0,0;Elliott,midfielder,5.0,0,0,0;Arthur,midfielder,4.9,0,0,0;Chamberlain,midfielder,4.9,0,0,0;Jones,midfielder,4.9,0,0,0;Keita,midfielder,4.8,0,0,0;Bajcetic,midfielder,4.5,0,0,0;Clark,midfielder,4.5,0,0,0;Milner,midfielder,4.5,0,0,0;DiogoJota,forward,8.9,0,0,0;Firmino,forward,8.0,0,0,0;Darwin,forward,8.8,0,0,0
Brentford;Liverpool;JürgenKlopp;AlissonBecker,goalkeeper,5.4,0,0,0;AdrianSanMiguel,goalkeeper,3.9,0,0,0;CaoimhinKelleher,goalkeeper,4.0,0,0,0;HarveyDavies,goalkeeper,4.0,0,0,0;JoeGomez,defender,4.5,0,0,0;VirgilVanDijk,defender,6.4,0,0,0;AlexanderArnold,defender,7.3,0,0,0;Robertson,defender,6.7,0,0,0;Matip,defender,5.9,0,0,0;Konate,defender,4.8,0,0,0;Tsimikas,defender,4.5,0,0,0;Chambers,defender,4.0,0,0,0;Phillips,defender,4.0,0,0,0;Ramsay,defender,3.9,0,0,0;Salah,midfielder,12.7,0,0,0;LuisDiaz,midfielder,8.0,0,1,0;Carvalho,midfielder,5.4,0,0,0;Fabinho,midfielder,5.3,0,0,0;Henderson,midfielder,5.3,0,0,0;Thiago,midfielder,5.2,0,0,0;Elliott,midfielder,5.0,0,0,0;Arthur,midfielder,4.9,0,0,0;Chamberlain,midfielder,4.9,0,0,0;Jones,midfielder,4.9,0,0,0;Keita,midfielder,4.8,0,0,0;Bajcetic,midfielder,4.5,0,0,0;Clark,midfielder,4.5,0,0,0;Milner,midfielder,4.5,0,0,0;DiogoJota,forward,8.9,0,0,0;Firmino,forward,8.0,0,0,0;Darwin,forward,8.8,0,0,0
Brighton and Hove Albion;Liverpool;JürgenKlopp;AlissonBecker,goalkeeper,5.4,0,0,0;AdrianSanMiguel,goalkeeper,3.9,0,0,0;CaoimhinKelleher,goalkeeper,4.0,0,0,0;HarveyDavies,goalkeeper,4.0,0,0,0;JoeGomez,defender,4.5,0,0,0;VirgilVanDijk,defender,6.4,0,0,0;AlexanderArnold,defender,7.3,0,0,0;Robertson,defender,6.7,0,0,0;Matip,defender,5.9,0,0,0;Konate,defender,4.8,0,0,0;Tsimikas,defender,4.5,0,0,0;Chambers,defender,4.0,0,0,0;Phillips,defender,4.0,0,0,0;Ramsay,defender,3.9,0,0,0;Salah,midfielder,12.7,0,0,0;LuisDiaz,midfielder,8.0,0,1,0;Carvalho,midfielder,5.4,0,0,0;Fabinho,midfielder,5.3,0,0,0;Henderson,midfielder,5.3,0,0,0;Thiago,midfielder,5.2,0,0,0;Elliott,midfielder,5.0,0,0,0;Arthur,midfielder,4.9,0,0,0;Chamberlain,midfielder,4.9,0,0,0;Jones,midfielder,4.9,0,0,0;Keita,midfielder,4.8,0,0,0;Bajcetic,midfielder,4.5,0,0,0;Clark,midfielder,4.5,0,0,0;Milner,midfielder,4.5,0,0,0;DiogoJota,forward,8.9,0,0,0;Firmino,forward,8.0,0,0,0;Darwin,forward,8.8,0,0,0
Chelsea;Liverpool;JürgenKlopp;AlissonBecker,goalkeeper,5.4,0,0,0;AdrianSanMiguel,goalkeeper,3.9,0,0,0;CaoimhinKelleher,goalkeeper,4.0,0,0,0;HarveyDavies,goalkeeper,4.0,0,0,0;JoeGomez,defender,4.5,0,0,0;VirgilVanDijk,defender,6.4,0,0,0;AlexanderArnold,defender,7.3,0,0,0;Robertson,defender,6.7,0,0,0;Matip,defender,5.9,0,0,0;Konate,defender,4.8,0,0,0;Tsimikas,defender,4.5,0,0,0;Chambers,defender,4.0,0,0,0;Phillips,defender,4.0,0,0,0;Ramsay,defender,3.9,0,0,0;Salah,midfielder,12.7,0,0,0;LuisDiaz,midfielder,8.0,0,1,0;Carvalho,midfielder,5.4,0,0,0;Fabinho,midfielder,5.3,0,0,0;Henderson,midfielder,5.3,0,0,0;Thiago,midfielder,5.2,0,0,0;Elliott,midfielder,5.0,0,0,0;Arthur,midfielder,4.9,0,0,0;Chamberlain,midfielder,4.9,0,0,0;Jones,midfielder,4.9,0,0,0;Keita,midfielder,4.8,0,0,0;Bajcetic,midfielder,4.5,0,0,0;Clark,midfielder,4.5,0,0,0;Milner,midfielder,4.5,0,0,0;DiogoJota,forward,8.9,0,0,0;Firmino,forward,8.0,0,0,0;Darwin,forward,8.8,0,0,0
Crystal Palace;Liverpool;JürgenKlopp;AlissonBecker,goalkeeper,5.4,0,0,0;AdrianSanMiguel,goalkeeper,3.9,0,0,0;CaoimhinKelleher,goalkeeper,4.0,0,0,0;HarveyDavies,goalkeeper,4.0,0,0,0;JoeGomez,defender,4.5,0,0,0;VirgilVanDijk,defender,6.4,0,0,0;AlexanderArnold,defender,7.3,0,0,0;Robertson,defender,6.7,0,0,0;Matip,defender,5.9,0,0,0;Konate,defender,4.8,0,0,0;Tsimikas,defender,4.5,0,0,0;Chambers,defender,4.0,0,0,0;Phillips,defender,4.0,0,0,0;Ramsay,defender,3.9,0,0,0;Salah,midfielder,12.7,0,0,0;LuisDiaz,midfielder,8.0,0,1,0;Carvalho,midfielder,5.4,0,0,0;Fabinho,midfielder,5.3,0,0,0;Henderson,midfielder,5.3,0,0,0;Thiago,midfielder,5.2,0,0,0;Elliott,midfielder,5.0,0,0,0;Arthur,midfielder,4.9,0,0,0;Chamberlain,midfielder,4.9,0,0,0;Jones,midfielder,4.9,0,0,0;Keita,midfielder,4.8,0,0,0;Bajcetic,midfielder,4.5,0,0,0;Clark,midfielder,4.5,0,0,0;Milner,midfielder,4.5,0,0,0;DiogoJota,forward,8.9,0,0,0;Firmino,forward,8.0,0,0,0;Darwin,forward,8.8,0,0,0
Everton;Liverpool;JürgenKlopp;AlissonBecker,goalkeeper,5.4,0,0,0;AdrianSanMiguel,goalkeeper,3.9,0,0,0;CaoimhinKelleher,goalkeeper,4.0,0,0,0;HarveyDavies,goalkeeper,4.0,0,0,0;JoeGomez,defender,4.5,0,0,0;VirgilVanDijk,defender,6.4,0,0,0;AlexanderArnold,defender,7.3,0,0,0;Robertson,defender,6.7,0,0,0;Matip,defender,5.9,0,0,0;Konate,defender,4.8,0,0,0;Tsimikas,defender,4.5,0,0,0;Chambers,defender,4.0,0,0,0;Phillips,defender,4.0,0,0,0;Ramsay,defender,3.9,0,0,0;Salah,midfielder,12.7,0,0,0;LuisDiaz,midfielder,8.0,0,1,0;Carvalho,midfielder,5.4,0,0,0;Fabinho,midfielder,5.3,0,0,0;Henderson,midfielder,5.3,0,0,0;Thiago,midfielder,5.2,0,0,0;Elliott,midfielder,5.0,0,0,0;Arthur,midfielder,4.9,0,0,0;Chamberlain,midfielder,4.9,0,0,0;Jones,midfielder,4.9,0,0,0;Keita,midfielder,4.8,0,0,0;Bajcetic,midfielder,4.5,0,0,0;Clark,midfielder,4.5,0,0,0;Milner,midfielder,4.5,0,0,0;DiogoJota,forward,8.9,0,0,0;Firmino,forward,8.0,0,0,0;Darwin,forward,8.8,0,0,0
Fulham;Liverpool;JürgenKlopp;AlissonBecker,goalkeeper,5.4,0,0,0;AdrianSanMiguel,goalkeeper,3.9,0,0,0;CaoimhinKelleher,goalkeeper,4.0,0,0,0;HarveyDavies,goalkeeper,4.0,0,0,0;JoeGomez,defender,4.5,0,0,0;VirgilVanDijk,defender,6.4,0,0,0;AlexanderArnold,defender,7.3,0,0,0;Robertson,defender,6.7,0,0,0;Matip,defender,5.9,0,0,0;Konate,defender,4.8,0,0,0;Tsimikas,defender,4.5,0,0,0;Chambers,defender,4.0,0,0,0;Phillips,defender,4.0,0,0,0;Ramsay,defender,3.9,0,0,0;Salah,midfielder,12.7,0,0,0;LuisDiaz,midfielder,8.0,0,1,0;Carvalho,midfielder,5.4,0,0,0;Fabinho,midfielder,5.3,0,0,0;Henderson,midfielder,5.3,0,0,0;Thiago,midfielder,5.2,0,0,0;Elliott,midfielder,5.0,0,0,0;Arthur,midfielder,4.9,0,0,0;Chamberlain,midfielder,4.9,0,0,0;Jones,midfielder,4.9,0,0,0;Keita,midfielder,4.8,0,0,0;Bajcetic,midfielder,4.5,0,0,0;Clark,midfielder,4.5,0,0,0;Milner,midfielder,4.5,0,0,0;DiogoJota,forward,8.9,0,0,0;Firmino,forward,8.0,0,0,0;Darwin,forward,8.8,0,0,0
